Datetime,Datetime2,Intensity,UV Index,Voltage
22:12:58.92,25/7/22 22:17:19,0.03,0,0.02
22:12:57.87,25/7/22 22:17:18,0.02,0,0.01
22:12:56.83,25/7/22 22:17:17,0.02,0,0.01
22:12:55.76,25/7/22 22:17:16,0.02,0,0.01
22:12:54.68,25/7/22 22:17:15,0.03,0,0.02
22:12:53.63,25/7/22 22:17:14,0.02,0,0.01
22:12:52.55,25/7/22 22:17:13,0.02,0,0.01
22:12:51.48,25/7/22 22:17:12,0.03,0,0.02
22:12:50.41,25/7/22 22:17:11,0.02,0,0.01
22:12:49.34,25/7/22 22:17:10,0.03,0,0.02
22:12:48.26,25/7/22 22:17:9,0.01,0,0.01
22:12:47.22,25/7/22 22:17:8,0.02,0,0.01
22:12:46.18,25/7/22 22:17:7,0.02,0,0.01
22:12:45.13,25/7/22 22:17:6,0.02,0,0.01
22:12:44.05,25/7/22 22:17:4,0.02,0,0.01
22:12:42.98,25/7/22 22:17:3,0.03,0,0.02
22:12:41.91,25/7/22 22:17:2,0.02,0,0.01
22:12:40.83,25/7/22 22:17:1,0.03,0,0.02
22:12:39.79,25/7/22 22:17:0,0.02,0,0.01
22:12:38.71,25/7/22 22:16:59,0.02,0,0.01
22:12:37.64,25/7/22 22:16:58,0.03,0,0.02
22:12:36.59,25/7/22 22:16:57,0.02,0,0.01
22:12:35.55,25/7/22 22:16:56,0.02,0,0.01
22:12:34.50,25/7/22 22:16:55,0.02,0,0.01
22:12:33.46,25/7/22 22:16:54,0.02,0,0.01
22:12:32.38,25/7/22 22:16:53,0.02,0,0.01
22:12:31.31,25/7/22 22:16:52,0.01,0,0.01
22:12:30.24,25/7/22 22:16:51,0.03,0,0.02
22:12:29.19,25/7/22 22:16:50,0.02,0,0.01
22:12:28.11,25/7/22 22:16:48,0.02,0,0.01
22:12:27.07,25/7/22 22:16:47,0.03,0,0.02
22:12:26.02,25/7/22 22:16:46,0.03,0,0.02
22:12:24.95,25/7/22 22:16:45,0.03,0,0.02
22:12:23.91,25/7/22 22:16:44,0.02,0,0.01
22:12:22.84,25/7/22 22:16:43,0.02,0,0.01
22:12:21.78,25/7/22 22:16:42,0.03,0,0.02
22:12:20.71,25/7/22 22:16:41,0.03,0,0.02
22:12:19.64,25/7/22 22:16:40,0.02,0,0.01
22:12:18.59,25/7/22 22:16:39,0.03,0,0.02
22:12:17.52,25/7/22 22:16:38,0.03,0,0.02
22:12:16.48,25/7/22 22:16:37,0.02,0,0.01
22:12:15.42,25/7/22 22:16:36,0.02,0,0.01
22:12:14.38,25/7/22 22:16:35,0.02,0,0.01
22:12:13.34,25/7/22 22:16:34,0.02,0,0.01
22:12:12.30,25/7/22 22:16:33,0.02,0,0.01
22:12:11.22,25/7/22 22:16:32,0.02,0,0.01
22:12:10.17,25/7/22 22:16:31,0.03,0,0.02
22:12:09.10,25/7/22 22:16:29,0.03,0,0.02
22:12:08.06,25/7/22 22:16:28,0.02,0,0.01
22:12:06.98,25/7/22 22:16:27,0.02,0,0.01
22:12:05.90,25/7/22 22:16:26,0.03,0,0.02
22:12:04.86,25/7/22 22:16:25,0.02,0,0.01
22:12:03.82,25/7/22 22:16:24,0.02,0,0.01
22:12:02.78,25/7/22 22:16:23,0.02,0,0.01
22:12:01.73,25/7/22 22:16:22,0.02,0,0.01
22:12:00.69,25/7/22 22:16:21,0.02,0,0.01
22:11:59.64,25/7/22 22:16:20,0.02,0,0.01
22:11:58.61,25/7/22 22:16:19,0.02,0,0.01
22:11:57.55,25/7/22 22:16:18,0.02,0,0.01
22:11:56.48,25/7/22 22:16:17,0.02,0,0.01
22:11:55.43,25/7/22 22:16:16,0.03,0,0.02
22:11:54.36,25/7/22 22:16:15,0.03,0,0.02
22:11:53.32,25/7/22 22:16:14,0.02,0,0.01
22:11:52.27,25/7/22 22:16:13,0.02,0,0.01
22:11:51.23,25/7/22 22:16:12,0.02,0,0.01
22:11:50.18,25/7/22 22:16:11,0.02,0,0.01
22:11:49.11,25/7/22 22:16:9,0.02,0,0.01
22:11:48.03,25/7/22 22:16:8,0.03,0,0.02
22:11:46.95,25/7/22 22:16:7,0.01,0,0.01
22:11:45.87,25/7/22 22:16:6,0.03,0,0.02
22:11:44.80,25/7/22 22:16:5,0.02,0,0.01
22:11:43.73,25/7/22 22:16:4,0.03,0,0.02
22:11:42.69,25/7/22 22:16:3,0.02,0,0.01
22:11:41.63,25/7/22 22:16:2,0.02,0,0.01
22:11:40.56,25/7/22 22:16:1,0.02,0,0.01
22:11:39.49,25/7/22 22:16:0,0.03,0,0.02
22:11:38.41,25/7/22 22:15:59,0.01,0,0.01
22:11:37.38,25/7/22 22:15:58,0.02,0,0.01
22:11:36.32,25/7/22 22:15:57,0.02,0,0.01
22:11:35.26,25/7/22 22:15:56,0.02,0,0.01
22:11:34.17,25/7/22 22:15:55,0.03,0,0.02
22:11:33.11,25/7/22 22:15:53,0.02,0,0.01
22:11:32.03,25/7/22 22:15:52,0.03,0,0.02
22:11:30.99,25/7/22 22:15:51,0.02,0,0.01
22:11:29.94,25/7/22 22:15:50,0.02,0,0.01
22:11:28.90,25/7/22 22:15:49,0.02,0,0.01
22:11:27.86,25/7/22 22:15:48,0.02,0,0.01
22:11:26.81,25/7/22 22:15:47,0.02,0,0.01
22:11:25.77,25/7/22 22:15:46,0.02,0,0.01
22:11:24.72,25/7/22 22:15:45,0.02,0,0.01
22:11:23.69,25/7/22 22:15:44,0.02,0,0.01
22:11:22.63,25/7/22 22:15:43,0.02,0,0.01
22:11:21.59,25/7/22 22:15:42,0.02,0,0.01
22:11:20.51,25/7/22 22:15:41,0.02,0,0.01
22:11:19.44,25/7/22 22:15:40,0.03,0,0.02
22:11:18.36,25/7/22 22:15:39,0.02,0,0.01
22:11:17.29,25/7/22 22:15:38,0.03,0,0.02
22:11:16.21,25/7/22 22:15:37,0.02,0,0.01
22:11:15.14,25/7/22 22:15:36,0.03,0,0.02
22:11:14.06,25/7/22 22:15:34,0.02,0,0.01
22:11:12.99,25/7/22 22:15:33,0.03,0,0.02
22:11:11.91,25/7/22 22:15:32,0.02,0,0.01
22:11:10.87,25/7/22 22:15:31,0.03,0,0.02
22:11:09.82,25/7/22 22:15:30,0.03,0,0.02
22:11:08.73,25/7/22 22:15:29,0.03,0,0.02
22:11:07.66,25/7/22 22:15:28,0.02,0,0.01
22:11:06.60,25/7/22 22:15:27,0.03,0,0.02
22:11:05.51,25/7/22 22:15:26,0.01,0,0.01
22:11:04.47,25/7/22 22:15:25,0.03,0,0.02
22:11:03.44,25/7/22 22:15:24,0.03,0,0.02
22:11:02.36,25/7/22 22:15:23,0.03,0,0.02
22:11:01.29,25/7/22 22:15:22,0.02,0,0.01
22:11:00.21,25/7/22 22:15:21,0.01,0,0.01
22:10:59.14,25/7/22 22:15:20,0.02,0,0.01
22:10:58.06,25/7/22 22:15:18,0.03,0,0.02
22:10:57.02,25/7/22 22:15:17,0.02,0,0.01
22:10:55.97,25/7/22 22:15:16,0.02,0,0.01
22:10:54.93,25/7/22 22:15:15,0.02,0,0.01
22:10:53.88,25/7/22 22:15:14,0.02,0,0.01
22:10:52.81,25/7/22 22:15:13,0.02,0,0.01
22:10:51.73,25/7/22 22:15:12,0.03,0,0.02
22:10:50.65,25/7/22 22:15:11,0.02,0,0.01
22:10:49.60,25/7/22 22:15:10,0.03,0,0.02
22:10:48.53,25/7/22 22:15:9,0.03,0,0.02
22:10:47.50,25/7/22 22:15:8,0.02,0,0.01
22:10:46.42,25/7/22 22:15:7,0.02,0,0.01
22:10:45.43,25/7/22 22:15:6,0.03,0,0.02
22:10:44.30,25/7/22 22:15:5,0.03,0,0.02
22:10:43.25,25/7/22 22:15:4,0.02,0,0.01
22:10:42.21,25/7/22 22:15:3,0.02,0,0.01
22:10:41.14,25/7/22 22:15:2,0.02,0,0.01
22:10:40.06,25/7/22 22:15:0,0.03,0,0.02
22:10:38.99,25/7/22 22:14:59,0.01,0,0.01
22:10:37.94,25/7/22 22:14:58,0.02,0,0.01
22:10:36.87,25/7/22 22:14:57,0.02,0,0.01
22:10:35.82,25/7/22 22:14:56,0.03,0,0.02
22:10:34.77,25/7/22 22:14:55,0.03,0,0.02
22:10:33.74,25/7/22 22:14:54,0.03,0,0.02
22:10:32.66,25/7/22 22:14:53,0.03,0,0.02
22:10:31.58,25/7/22 22:14:52,0.02,0,0.01
22:10:30.55,25/7/22 22:14:51,0.03,0,0.02
22:10:29.50,25/7/22 22:14:50,0.03,0,0.02
22:10:28.42,25/7/22 22:14:49,0.03,0,0.02
22:10:27.38,25/7/22 22:14:48,0.02,0,0.01
22:10:26.31,25/7/22 22:14:47,0.02,0,0.01
22:10:25.22,25/7/22 22:14:46,0.03,0,0.02
22:10:24.15,25/7/22 22:14:45,0.02,0,0.01
22:10:23.08,25/7/22 22:14:43,0.03,0,0.02
22:10:22.00,25/7/22 22:14:42,0.02,0,0.01
22:10:20.96,25/7/22 22:14:41,0.03,0,0.02
22:10:19.91,25/7/22 22:14:40,0.03,0,0.02
22:10:18.84,25/7/22 22:14:39,0.03,0,0.02
22:10:17.76,25/7/22 22:14:38,0.02,0,0.01
22:10:16.68,25/7/22 22:14:37,0.03,0,0.02
22:10:15.61,25/7/22 22:14:36,0.02,0,0.01
22:10:14.54,25/7/22 22:14:35,0.03,0,0.02
22:10:13.49,25/7/22 22:14:34,0.02,0,0.01
22:10:12.42,25/7/22 22:14:33,0.02,0,0.01
22:10:11.35,25/7/22 22:14:32,0.03,0,0.02
22:10:10.27,25/7/22 22:14:31,0.01,0,0.01
22:10:09.19,25/7/22 22:14:30,0.03,0,0.02
22:10:08.15,25/7/22 22:14:29,0.02,0,0.01
22:10:07.10,25/7/22 22:14:27,0.02,0,0.01
22:10:06.06,25/7/22 22:14:26,0.02,0,0.01
22:10:04.99,25/7/22 22:14:25,0.02,0,0.01
22:10:03.91,25/7/22 22:14:24,0.03,0,0.02
22:10:02.83,25/7/22 22:14:23,0.01,0,0.01
22:10:01.79,25/7/22 22:14:22,0.02,0,0.01
22:10:00.75,25/7/22 22:14:21,0.02,0,0.01
22:09:59.66,25/7/22 22:14:20,0.02,0,0.01
22:09:58.62,25/7/22 22:14:19,0.03,0,0.02
22:09:57.55,25/7/22 22:14:18,0.03,0,0.02
22:09:56.46,25/7/22 22:14:17,0.02,0,0.01
22:09:55.40,25/7/22 22:14:16,0.03,0,0.02
22:09:54.36,25/7/22 22:14:15,0.02,0,0.01
22:09:53.27,25/7/22 22:14:14,0.02,0,0.01
22:09:52.24,25/7/22 22:14:13,0.03,0,0.02
22:09:51.16,25/7/22 22:14:12,0.03,0,0.02
22:09:50.12,25/7/22 22:14:11,0.02,0,0.01
22:09:49.04,25/7/22 22:14:9,0.02,0,0.01
22:09:47.97,25/7/22 22:14:8,0.03,0,0.02
22:09:46.88,25/7/22 22:14:7,0.02,0,0.01
22:09:45.82,25/7/22 22:14:6,0.03,0,0.02
22:09:44.77,25/7/22 22:14:5,0.02,0,0.01
22:09:43.70,25/7/22 22:14:4,0.02,0,0.01
22:09:42.62,25/7/22 22:14:3,0.03,0,0.02
22:09:41.58,25/7/22 22:14:2,0.02,0,0.01
22:09:40.52,25/7/22 22:14:1,0.02,0,0.01
22:09:39.49,25/7/22 22:14:0,0.02,0,0.01
22:09:38.45,25/7/22 22:13:59,0.02,0,0.01
22:09:37.40,25/7/22 22:13:58,0.02,0,0.01
22:09:36.33,25/7/22 22:13:57,0.02,0,0.01
22:09:35.25,25/7/22 22:13:56,0.03,0,0.02
22:09:34.21,25/7/22 22:13:55,0.02,0,0.01
22:09:33.13,25/7/22 22:13:54,0.02,0,0.01
22:09:32.09,25/7/22 22:13:52,0.03,0,0.02
22:09:31.00,25/7/22 22:13:51,0.03,0,0.02
22:09:29.94,25/7/22 22:13:50,0.02,0,0.01
22:09:28.86,25/7/22 22:13:49,0.04,0,0.02
22:09:27.79,25/7/22 22:13:48,0.03,0,0.02
22:09:26.74,25/7/22 22:13:47,0.02,0,0.01
22:09:25.70,25/7/22 22:13:46,0.02,0,0.01
22:09:24.65,25/7/22 22:13:45,0.02,0,0.01
22:09:23.61,25/7/22 22:13:44,0.02,0,0.01
22:09:22.54,25/7/22 22:13:43,0.02,0,0.01
22:09:21.49,25/7/22 22:13:42,0.03,0,0.02
22:09:20.45,25/7/22 22:13:41,0.03,0,0.02
22:09:19.37,25/7/22 22:13:40,0.03,0,0.02
22:09:18.29,25/7/22 22:13:39,0.02,0,0.01
22:09:17.22,25/7/22 22:13:38,0.03,0,0.02
22:09:16.14,25/7/22 22:13:37,0.02,0,0.01
22:09:15.06,25/7/22 22:13:35,0.03,0,0.02
22:09:14.03,25/7/22 22:13:34,0.02,0,0.01
22:09:12.98,25/7/22 22:13:33,0.02,0,0.01
22:09:11.91,25/7/22 22:13:32,0.02,0,0.01
22:09:10.83,25/7/22 22:13:31,0.03,0,0.02
22:09:09.75,25/7/22 22:13:30,0.04,0,0.02
22:09:08.71,25/7/22 22:13:29,0.03,0,0.02
22:09:07.64,25/7/22 22:13:28,0.03,0,0.02
22:09:06.56,25/7/22 22:13:27,0.02,0,0.01
22:09:05.47,25/7/22 22:13:26,0.03,0,0.02
22:09:04.44,25/7/22 22:13:25,0.02,0,0.01
22:09:03.37,25/7/22 22:13:24,0.02,0,0.01
22:09:02.32,25/7/22 22:13:23,0.03,0,0.02
22:09:01.24,25/7/22 22:13:22,0.03,0,0.02
22:09:00.20,25/7/22 22:13:21,0.02,0,0.01
22:08:59.16,25/7/22 22:13:20,0.02,0,0.01
22:08:58.11,25/7/22 22:13:18,0.02,0,0.01
22:08:57.07,25/7/22 22:13:17,0.02,0,0.01
22:08:55.99,25/7/22 22:13:16,0.02,0,0.01
22:08:54.92,25/7/22 22:13:15,0.03,0,0.02
22:08:53.85,25/7/22 22:13:14,0.02,0,0.01
22:08:52.77,25/7/22 22:13:13,0.03,0,0.02
22:08:51.72,25/7/22 22:13:12,0.02,0,0.01
22:08:50.65,25/7/22 22:13:11,0.02,0,0.01
22:08:49.61,25/7/22 22:13:10,0.03,0,0.02
22:08:48.53,25/7/22 22:13:9,0.03,0,0.02
22:08:47.49,25/7/22 22:13:8,0.02,0,0.01
22:08:46.44,25/7/22 22:13:7,0.02,0,0.01
22:08:45.40,25/7/22 22:13:6,0.02,0,0.01
22:08:44.35,25/7/22 22:13:5,0.02,0,0.01
22:08:43.28,25/7/22 22:13:4,0.02,0,0.01
22:08:42.20,25/7/22 22:13:3,0.03,0,0.02
22:08:41.15,25/7/22 22:13:2,0.02,0,0.01
22:08:40.11,25/7/22 22:13:0,0.02,0,0.01
22:08:39.04,25/7/22 22:12:59,0.02,0,0.01
22:08:37.96,25/7/22 22:12:58,0.03,0,0.02
22:08:36.89,25/7/22 22:12:57,0.02,0,0.01
22:08:35.81,25/7/22 22:12:56,0.03,0,0.02
22:08:34.74,25/7/22 22:12:55,0.02,0,0.01
22:08:33.68,25/7/22 22:12:54,0.03,0,0.02
22:08:32.59,25/7/22 22:12:53,0.02,0,0.01
22:08:31.51,25/7/22 22:12:52,0.03,0,0.02
22:08:30.47,25/7/22 22:12:51,0.02,0,0.01
22:08:29.39,25/7/22 22:12:50,0.02,0,0.01
22:08:28.35,25/7/22 22:12:49,0.03,0,0.02
22:08:27.27,25/7/22 22:12:48,0.03,0,0.02
22:08:26.20,25/7/22 22:12:47,0.01,0,0.01
22:08:25.13,25/7/22 22:12:46,0.03,0,0.02
22:08:24.08,25/7/22 22:12:44,0.02,0,0.01
22:08:23.01,25/7/22 22:12:43,0.02,0,0.01
22:08:21.93,25/7/22 22:12:42,0.03,0,0.02
22:08:20.85,25/7/22 22:12:41,0.02,0,0.01
22:08:19.78,25/7/22 22:12:40,0.03,0,0.02
22:08:18.74,25/7/22 22:12:39,0.02,0,0.01
22:08:17.69,25/7/22 22:12:38,0.02,0,0.01
22:08:16.65,25/7/22 22:12:37,0.02,0,0.01
22:08:15.57,25/7/22 22:12:36,0.02,0,0.01
22:08:14.50,25/7/22 22:12:35,0.01,0,0.01
22:08:13.45,25/7/22 22:12:34,0.03,0,0.02
22:08:12.38,25/7/22 22:12:33,0.03,0,0.02
22:08:11.31,25/7/22 22:12:32,0.02,0,0.01
22:08:10.23,25/7/22 22:12:31,0.01,0,0.01
22:08:09.16,25/7/22 22:12:30,0.02,0,0.01
22:08:08.10,25/7/22 22:12:28,0.03,0,0.02
22:08:07.04,25/7/22 22:12:27,0.03,0,0.02
22:08:06.00,25/7/22 22:12:26,0.02,0,0.01
22:08:04.92,25/7/22 22:12:25,0.02,0,0.01
22:08:03.84,25/7/22 22:12:24,0.01,0,0.01
22:08:02.80,25/7/22 22:12:23,0.03,0,0.02
22:08:01.72,25/7/22 22:12:22,0.03,0,0.02
22:08:00.65,25/7/22 22:12:21,0.02,0,0.01
22:07:59.57,25/7/22 22:12:20,0.03,0,0.02
22:07:58.53,25/7/22 22:12:19,0.02,0,0.01
22:07:57.44,25/7/22 22:12:18,0.02,0,0.01
22:07:56.40,25/7/22 22:12:17,0.03,0,0.02
22:07:55.34,25/7/22 22:12:16,0.03,0,0.02
22:07:54.26,25/7/22 22:12:15,0.02,0,0.01
22:07:53.22,25/7/22 22:12:14,0.03,0,0.02
22:07:52.14,25/7/22 22:12:13,0.03,0,0.02
22:07:51.09,25/7/22 22:12:11,0.02,0,0.01
22:07:50.02,25/7/22 22:12:10,0.02,0,0.01
22:07:48.94,25/7/22 22:12:9,0.04,0,0.02
22:07:47.90,25/7/22 22:12:8,0.03,0,0.02
22:07:46.83,25/7/22 22:12:7,0.03,0,0.02
22:07:45.75,25/7/22 22:12:6,0.02,0,0.01
22:07:44.67,25/7/22 22:12:5,0.03,0,0.02
22:07:43.63,25/7/22 22:12:4,0.02,0,0.01
22:07:42.59,25/7/22 22:12:3,0.02,0,0.01
22:07:41.54,25/7/22 22:12:2,0.02,0,0.01
22:07:40.46,25/7/22 22:12:1,0.02,0,0.01
22:07:39.42,25/7/22 22:12:0,0.03,0,0.02
22:07:38.38,25/7/22 22:11:59,0.03,0,0.02
22:07:37.29,25/7/22 22:11:58,0.03,0,0.02
22:07:36.23,25/7/22 22:11:57,0.02,0,0.01
22:07:35.15,25/7/22 22:11:56,0.03,0,0.02
22:07:34.10,25/7/22 22:11:54,0.02,0,0.01
22:07:33.05,25/7/22 22:11:53,0.02,0,0.01
22:07:31.99,25/7/22 22:11:52,0.02,0,0.01
22:07:30.91,25/7/22 22:11:51,0.03,0,0.02
22:07:29.84,25/7/22 22:11:50,0.02,0,0.01
22:07:28.75,25/7/22 22:11:49,0.03,0,0.02
22:07:27.72,25/7/22 22:11:48,0.02,0,0.01
22:07:26.68,25/7/22 22:11:47,0.02,0,0.01
22:07:25.60,25/7/22 22:11:46,0.02,0,0.01
22:07:24.53,25/7/22 22:11:45,0.03,0,0.02
22:07:23.48,25/7/22 22:11:44,0.02,0,0.01
22:07:22.44,25/7/22 22:11:43,0.02,0,0.01
22:07:21.38,25/7/22 22:11:42,0.02,0,0.01
22:07:20.35,25/7/22 22:11:41,0.02,0,0.01
22:07:19.27,25/7/22 22:11:40,0.02,0,0.01
22:07:18.20,25/7/22 22:11:39,0.03,0,0.02
22:07:17.12,25/7/22 22:11:38,0.02,0,0.01
22:07:16.07,25/7/22 22:11:36,0.03,0,0.02
22:07:15.00,25/7/22 22:11:35,0.03,0,0.02
22:07:13.96,25/7/22 22:11:34,0.02,0,0.01
22:07:12.88,25/7/22 22:11:33,0.02,0,0.01
22:07:11.89,25/7/22 22:11:32,0.03,0,0.02
22:07:10.76,25/7/22 22:11:31,0.03,0,0.02
22:07:09.72,25/7/22 22:11:30,0.02,0,0.01
22:07:08.67,25/7/22 22:11:29,0.02,0,0.01
22:07:07.62,25/7/22 22:11:28,0.02,0,0.01
22:07:06.55,25/7/22 22:11:27,0.02,0,0.01
22:07:05.48,25/7/22 22:11:26,0.03,0,0.02
22:07:04.40,25/7/22 22:11:25,0.02,0,0.01
22:07:03.33,25/7/22 22:11:24,0.03,0,0.02
22:07:02.25,25/7/22 22:11:23,0.02,0,0.01
22:07:01.18,25/7/22 22:11:22,0.03,0,0.02
22:07:00.13,25/7/22 22:11:21,0.02,0,0.01
22:06:59.09,25/7/22 22:11:19,0.02,0,0.01
22:06:58.04,25/7/22 22:11:18,0.02,0,0.01
22:06:57.00,25/7/22 22:11:17,0.02,0,0.01
22:06:55.93,25/7/22 22:11:16,0.02,0,0.01
22:06:54.84,25/7/22 22:11:15,0.03,0,0.02
22:06:53.78,25/7/22 22:11:14,0.02,0,0.01
22:06:52.70,25/7/22 22:11:13,0.01,0,0.01
22:06:51.66,25/7/22 22:11:12,0.02,0,0.01
22:06:50.60,25/7/22 22:11:11,0.02,0,0.01
22:06:49.75,25/7/22 22:11:10,0.02,0,0.01
22:06:48.51,25/7/22 22:11:9,0.02,0,0.01
22:06:47.48,25/7/22 22:11:8,0.02,0,0.01
22:06:46.40,25/7/22 22:11:7,0.02,0,0.01
22:06:45.33,25/7/22 22:11:6,0.01,0,0.01
22:06:44.29,25/7/22 22:11:5,0.02,0,0.01
22:06:43.24,25/7/22 22:11:4,0.02,0,0.01
22:06:42.17,25/7/22 22:11:3,0.02,0,0.01
22:06:41.13,25/7/22 22:11:2,0.01,0,0.01
22:06:40.05,25/7/22 22:11:0,0.01,0,0.01
22:06:38.98,25/7/22 22:10:59,0.02,0,0.01
22:06:37.93,25/7/22 22:10:58,0.03,0,0.02
22:06:36.89,25/7/22 22:10:57,0.03,0,0.02
22:06:35.81,25/7/22 22:10:56,0.03,0,0.02
22:06:34.74,25/7/22 22:10:55,0.02,0,0.01
22:06:33.66,25/7/22 22:10:54,0.03,0,0.02
22:06:32.59,25/7/22 22:10:53,0.02,0,0.01
22:06:31.51,25/7/22 22:10:52,0.03,0,0.02
22:06:30.44,25/7/22 22:10:51,0.02,0,0.01
22:06:29.36,25/7/22 22:10:50,0.03,0,0.02
22:06:28.29,25/7/22 22:10:49,0.01,0,0.01
22:06:27.21,25/7/22 22:10:48,0.03,0,0.02
22:06:26.13,25/7/22 22:10:47,0.01,0,0.01
22:06:25.09,25/7/22 22:10:45,0.03,0,0.02
22:06:24.02,25/7/22 22:10:44,0.03,0,0.02
22:06:22.95,25/7/22 22:10:43,0.02,0,0.01
22:06:21.86,25/7/22 22:10:42,0.04,0,0.02
22:06:20.80,25/7/22 22:10:41,0.01,0,0.01
22:06:19.76,25/7/22 22:10:40,0.03,0,0.02
22:06:18.68,25/7/22 22:10:39,0.03,0,0.02
22:06:17.61,25/7/22 22:10:38,0.01,0,0.01
22:06:16.53,25/7/22 22:10:37,0.04,0,0.02
22:06:15.49,25/7/22 22:10:36,0.02,0,0.01
22:06:14.44,25/7/22 22:10:35,0.02,0,0.01
22:06:13.37,25/7/22 22:10:34,0.02,0,0.01
22:06:12.32,25/7/22 22:10:33,0.03,0,0.02
22:06:11.28,25/7/22 22:10:32,0.03,0,0.02
22:06:10.20,25/7/22 22:10:31,0.03,0,0.02
22:06:09.16,25/7/22 22:10:30,0.02,0,0.01
22:06:08.11,25/7/22 22:10:28,0.02,0,0.01
22:06:07.04,25/7/22 22:10:27,0.02,0,0.01
22:06:05.97,25/7/22 22:10:26,0.03,0,0.02
22:06:04.92,25/7/22 22:10:25,0.02,0,0.01
22:06:03.85,25/7/22 22:10:24,0.02,0,0.01
22:06:02.77,25/7/22 22:10:23,0.03,0,0.02
22:06:01.69,25/7/22 22:10:22,0.02,0,0.01
22:06:00.61,25/7/22 22:10:21,0.04,0,0.02
22:05:59.54,25/7/22 22:10:20,0.02,0,0.01
22:05:58.49,25/7/22 22:10:19,0.03,0,0.02
22:05:57.45,25/7/22 22:10:18,0.03,0,0.02
22:05:56.38,25/7/22 22:10:17,0.03,0,0.02
22:05:55.31,25/7/22 22:10:16,0.02,0,0.01
22:05:54.23,25/7/22 22:10:15,0.03,0,0.02
22:05:53.19,25/7/22 22:10:14,0.02,0,0.01
22:05:52.14,25/7/22 22:10:13,0.02,0,0.01
22:05:51.07,25/7/22 22:10:11,0.02,0,0.01
22:05:49.99,25/7/22 22:10:10,0.01,0,0.01
22:05:48.92,25/7/22 22:10:9,0.02,0,0.01
22:05:47.87,25/7/22 22:10:8,0.03,0,0.02
22:05:46.79,25/7/22 22:10:7,0.03,0,0.02
22:05:45.75,25/7/22 22:10:6,0.02,0,0.01
22:05:44.71,25/7/22 22:10:5,0.02,0,0.01
22:05:43.67,25/7/22 22:10:4,0.02,0,0.01
22:05:42.59,25/7/22 22:10:3,0.02,0,0.01
22:05:41.51,25/7/22 22:10:2,0.03,0,0.02
22:05:40.47,25/7/22 22:10:1,0.02,0,0.01
22:05:39.39,25/7/22 22:10:0,0.02,0,0.01
22:05:38.35,25/7/22 22:9:59,0.03,0,0.02
22:05:37.27,25/7/22 22:9:58,0.03,0,0.02
22:05:36.23,25/7/22 22:9:57,0.02,0,0.01
22:05:35.16,25/7/22 22:9:56,0.02,0,0.01
22:05:34.11,25/7/22 22:9:54,0.03,0,0.02
22:05:33.03,25/7/22 22:9:53,0.03,0,0.02
22:05:31.95,25/7/22 22:9:52,0.02,0,0.01
22:05:30.88,25/7/22 22:9:51,0.03,0,0.02
22:05:29.81,25/7/22 22:9:50,0.01,0,0.01
22:05:28.74,25/7/22 22:9:49,0.02,0,0.01
22:05:27.69,25/7/22 22:9:48,0.03,0,0.02
22:05:26.65,25/7/22 22:9:47,0.03,0,0.02
22:05:25.61,25/7/22 22:9:46,0.03,0,0.02
22:05:24.53,25/7/22 22:9:45,0.03,0,0.02
22:05:23.49,25/7/22 22:9:44,0.02,0,0.01
22:05:22.40,25/7/22 22:9:43,0.02,0,0.01
22:05:21.34,25/7/22 22:9:42,0.03,0,0.02
22:05:20.26,25/7/22 22:9:41,0.01,0,0.01
