Datetime,Datetime2,Intensity,UV Index,Voltage
17:07:44.88,25/7/22 17:12:5,0.08,0,0.05
17:07:43.85,25/7/22 17:12:4,0.07,0,0.05
17:07:42.76,25/7/22 17:12:3,0.07,0,0.05
17:07:41.72,25/7/22 17:12:2,0.08,0,0.05
17:07:40.66,25/7/22 17:12:1,0.08,0,0.05
17:07:39.58,25/7/22 17:12:0,0.09,0,0.06
17:07:38.49,25/7/22 17:11:59,0.08,0,0.05
17:07:37.43,25/7/22 17:11:58,0.07,0,0.05
17:07:36.39,25/7/22 17:11:57,0.08,0,0.05
17:07:35.31,25/7/22 17:11:56,0.08,0,0.05
17:07:34.27,25/7/22 17:11:55,0.07,0,0.05
17:07:33.19,25/7/22 17:11:53,0.07,0,0.05
17:07:32.14,25/7/22 17:11:52,0.08,0,0.05
17:07:31.07,25/7/22 17:11:51,0.08,0,0.05
17:07:30.00,25/7/22 17:11:50,0.09,0,0.06
17:07:28.92,25/7/22 17:11:49,0.07,0,0.05
17:07:27.88,25/7/22 17:11:48,0.09,0,0.06
17:07:26.84,25/7/22 17:11:47,0.09,0,0.06
17:07:25.76,25/7/22 17:11:46,0.09,0,0.06
17:07:24.69,25/7/22 17:11:45,0.08,0,0.05
17:07:23.61,25/7/22 17:11:44,0.07,0,0.05
17:07:22.54,25/7/22 17:11:43,0.08,0,0.05
17:07:21.49,25/7/22 17:11:42,0.07,0,0.05
17:07:20.42,25/7/22 17:11:41,0.07,0,0.05
17:07:19.34,25/7/22 17:11:40,0.08,0,0.05
17:07:18.27,25/7/22 17:11:39,0.09,0,0.06
17:07:17.19,25/7/22 17:11:37,0.07,0,0.05
17:07:16.14,25/7/22 17:11:36,0.08,0,0.05
17:07:15.07,25/7/22 17:11:35,0.08,0,0.05
17:07:14.03,25/7/22 17:11:34,0.07,0,0.05
17:07:12.95,25/7/22 17:11:33,0.07,0,0.05
17:07:11.91,25/7/22 17:11:32,0.08,0,0.05
17:07:10.87,25/7/22 17:11:31,0.08,0,0.05
17:07:09.82,25/7/22 17:11:30,0.08,0,0.05
17:07:08.78,25/7/22 17:11:29,0.08,0,0.05
17:07:07.69,25/7/22 17:11:28,0.08,0,0.05
17:07:06.63,25/7/22 17:11:27,0.09,0,0.06
17:07:05.58,25/7/22 17:11:26,0.08,0,0.05
17:07:04.51,25/7/22 17:11:25,0.08,0,0.05
17:07:03.43,25/7/22 17:11:24,0.07,0,0.05
17:07:02.36,25/7/22 17:11:23,0.09,0,0.06
17:07:01.28,25/7/22 17:11:22,0.07,0,0.05
17:07:00.21,25/7/22 17:11:21,0.09,0,0.06
17:06:59.16,25/7/22 17:11:19,0.07,0,0.05
17:06:58.09,25/7/22 17:11:18,0.07,0,0.05
17:06:57.02,25/7/22 17:11:17,0.09,0,0.06
17:06:55.94,25/7/22 17:11:16,0.07,0,0.05
17:06:54.87,25/7/22 17:11:15,0.08,0,0.05
17:06:53.79,25/7/22 17:11:14,0.07,0,0.04
17:06:52.75,25/7/22 17:11:13,0.08,0,0.05
17:06:51.70,25/7/22 17:11:12,0.08,0,0.05
17:06:50.66,25/7/22 17:11:11,0.08,0,0.05
17:06:49.58,25/7/22 17:11:10,0.08,0,0.05
17:06:48.50,25/7/22 17:11:9,0.07,0,0.05
17:06:47.46,25/7/22 17:11:8,0.08,0,0.05
17:06:46.39,25/7/22 17:11:7,0.08,0,0.05
17:06:45.31,25/7/22 17:11:6,0.09,0,0.06
17:06:44.23,25/7/22 17:11:5,0.07,0,0.05
17:06:43.19,25/7/22 17:11:3,0.08,0,0.05
17:06:42.15,25/7/22 17:11:2,0.08,0,0.05
17:06:41.11,25/7/22 17:11:1,0.08,0,0.05
17:06:40.06,25/7/22 17:11:0,0.08,0,0.05
17:06:38.99,25/7/22 17:10:59,0.08,0,0.05
17:06:37.94,25/7/22 17:10:58,0.07,0,0.05
17:06:36.87,25/7/22 17:10:57,0.07,0,0.05
17:06:35.83,25/7/22 17:10:56,0.08,0,0.05
17:06:34.78,25/7/22 17:10:55,0.08,0,0.05
17:06:33.71,25/7/22 17:10:54,0.08,0,0.05
17:06:32.63,25/7/22 17:10:53,0.07,0,0.05
17:06:31.55,25/7/22 17:10:52,0.08,0,0.05
17:06:30.47,25/7/22 17:10:51,0.07,0,0.05
17:06:29.44,25/7/22 17:10:50,0.08,0,0.05
17:06:28.36,25/7/22 17:10:49,0.08,0,0.05
17:06:27.29,25/7/22 17:10:48,0.07,0,0.05
17:06:26.24,25/7/22 17:10:47,0.08,0,0.05
17:06:25.17,25/7/22 17:10:45,0.08,0,0.05
17:06:24.13,25/7/22 17:10:44,0.07,0,0.05
17:06:23.08,25/7/22 17:10:43,0.07,0,0.05
17:06:22.01,25/7/22 17:10:42,0.07,0,0.05
17:06:20.93,25/7/22 17:10:41,0.09,0,0.06
17:06:19.89,25/7/22 17:10:40,0.07,0,0.05
17:06:18.84,25/7/22 17:10:39,0.07,0,0.05
17:06:17.80,25/7/22 17:10:38,0.07,0,0.05
17:06:16.72,25/7/22 17:10:37,0.07,0,0.05
17:06:15.65,25/7/22 17:10:36,0.09,0,0.06
17:06:14.60,25/7/22 17:10:35,0.08,0,0.05
17:06:13.53,25/7/22 17:10:34,0.08,0,0.05
17:06:12.46,25/7/22 17:10:33,0.07,0,0.05
17:06:11.41,25/7/22 17:10:32,0.08,0,0.05
17:06:10.37,25/7/22 17:10:31,0.08,0,0.05
17:06:09.32,25/7/22 17:10:30,0.08,0,0.05
17:06:08.25,25/7/22 17:10:29,0.08,0,0.05
17:06:07.20,25/7/22 17:10:27,0.07,0,0.05
17:06:06.13,25/7/22 17:10:26,0.07,0,0.05
17:06:05.05,25/7/22 17:10:25,0.08,0,0.05
17:06:03.98,25/7/22 17:10:24,0.09,0,0.06
17:06:02.90,25/7/22 17:10:23,0.08,0,0.05
17:06:01.83,25/7/22 17:10:22,0.07,0,0.05
17:06:00.78,25/7/22 17:10:21,0.08,0,0.05
17:05:59.70,25/7/22 17:10:20,0.08,0,0.05
17:05:58.64,25/7/22 17:10:19,0.09,0,0.06
17:05:57.58,25/7/22 17:10:18,0.07,0,0.05
17:05:56.51,25/7/22 17:10:17,0.07,0,0.05
17:05:55.47,25/7/22 17:10:16,0.08,0,0.05
17:05:54.38,25/7/22 17:10:15,0.08,0,0.05
17:05:53.32,25/7/22 17:10:14,0.09,0,0.06
17:05:52.27,25/7/22 17:10:13,0.08,0,0.05
17:05:51.23,25/7/22 17:10:12,0.08,0,0.05
17:05:50.15,25/7/22 17:10:10,0.08,0,0.05
17:05:49.08,25/7/22 17:10:9,0.07,0,0.05
17:05:48.01,25/7/22 17:10:8,0.08,0,0.05
17:05:46.93,25/7/22 17:10:7,0.07,0,0.05
17:05:45.89,25/7/22 17:10:6,0.08,0,0.05
17:05:44.81,25/7/22 17:10:5,0.08,0,0.05
17:05:43.74,25/7/22 17:10:4,0.09,0,0.06
17:05:42.66,25/7/22 17:10:3,0.07,0,0.05
17:05:41.59,25/7/22 17:10:2,0.07,0,0.04
17:05:40.54,25/7/22 17:10:1,0.08,0,0.05
17:05:39.50,25/7/22 17:10:0,0.08,0,0.05
17:05:38.77,25/7/22 17:9:59,0.07,0,0.05
17:05:37.35,25/7/22 17:9:58,0.07,0,0.05
