Waktu;Sensor UV;UV Meter
7:00;4.56;4.95
7:05;4.51;4.91
7:10;4.5;4.9
7:15;4.48;4.88
7:20;4.53;4.91
7:25;4.6;4.90
7:30;4.57;4.87
7:35;4.77;4.87
7:40;4.79;4.89
7:45;4.8;4.9
7:50;4.83;4.93
7:55;4.69;4.88
8:00;4.63;4.84
8:05;4.67;4.87
8:10;4.7;4.9
8:15;4.71;4.91
8:20;4.7;4.9
8:25;4.65;4.86
8:30;4.68;4.87
8:35;4.76;4.88
8:40;4.77;4.83
8:45;4.84;4.91
8:50;4.88;4.92
8:55;4.92;4.92
9:00;4.8;4.8
